,Mass
0,-0.5376020021010439
1,-0.494850021680094
2,-0.4814860601221125
3,-0.4559319556497244
4,-0.4089353929735008
5,-0.38721614328026455
6,-0.3467874862246563
7,-0.3279021420642826
8,-0.3187587626244128
9,-0.026872146400301365
10,-0.01322826573375516
11,0.04921802267018165
12,-0.22914798835785583
13,-0.045757490560675115
14,-0.431798275933005
15,-0.27572413039921095
16,-0.26760624017703144
17,-0.24412514432750865
18,-0.12493873660829995
19,-0.01322826573375516
20,-0.004364805402450088
21,0.02530586526477026
22,-0.4559319556497244
23,-0.42021640338318983
24,-0.36653154442041347
25,-0.1804560644581313
26,-0.026872146400301365
27,0.0
28,0.10380372095595687
29,-0.494850021680094
30,-0.42021640338318983
31,-0.12493873660829995
32,-0.07572071393811836
33,0.08278537031645007
34,-0.5086383061657274
35,-0.38721614328026455
36,-0.036212172654444715
37,-0.004364805402450088
38,0.06069784035361165
39,-0.44369749923271273
40,-0.37675070960209955
41,-0.3187587626244128
42,-0.3098039199714863
43,-0.27572413039921095
44,-0.24412514432750865
45,-0.22914798835785583
46,-0.12493873660829995
47,-0.10237290870955855
48,-0.07572071393811836
49,-0.07058107428570728
50,-0.060480747381381476
51,-0.619788758288394
52,-0.494850021680094
53,-0.3467874862246563
54,-0.23657200643706275
55,-0.17392519729917355
56,-0.1366771398795441
57,0.08990511143939793
58,0.2304489213782739
59,0.3344537511509309
60,-0.4814860601221125
61,-0.3565473235138126
62,-0.3279021420642826
63,-0.3098039199714863
64,-0.28399665636520083
65,-0.27572413039921095
66,-0.27572413039921095
67,0.17609125905568124
68,-0.25181197299379954
69,-0.44369749923271273
70,-0.42021640338318983
71,-0.42021640338318983
72,-0.36653154442041347
73,-0.28399665636520083
74,-0.1938200260161128
75,-0.14874165128092473
76,-0.08092190762392612
77,-0.44369749923271273
78,-0.42021640338318983
79,-0.4089353929735008
80,-0.3979400086720376
81,-0.3565473235138126
82,-0.3279021420642826
83,-0.26760624017703144
84,-0.2596373105057561
85,-0.2596373105057561
86,-0.20760831050174613
87,-0.2006594505464183
88,-0.17392519729917355
89,-0.16749108729376366
90,-0.14874165128092473
91,-0.10790539730951958
92,-0.09691001300805639
93,-0.09691001300805639
94,0.09342168516223506
95,-0.4814860601221125
96,-0.44369749923271273
97,-0.431798275933005
98,-0.3565473235138126
99,-0.3279021420642826
100,-0.2924298239020636
101,-0.22914798835785583
102,-0.18708664335714442
103,-0.1804560644581313
104,-0.16115090926274472
105,-0.16115090926274472
106,-0.12493873660829995
107,-0.11918640771920865
108,-0.3979400086720376
109,-0.3187587626244128
110,-0.2596373105057561
111,-0.23657200643706275
112,-0.026872146400301365
113,-0.022276394711152253
114,-0.14874165128092473
115,-0.3565473235138126
116,-0.28399665636520083
117,-0.27572413039921095
118,-0.27572413039921095
119,-0.14874165128092473
120,-0.5228787452803376
121,-0.060480747381381476
122,-0.42021640338318983
123,-0.4089353929735008
124,-0.36653154442041347
125,-0.3279021420642826
126,-0.3187587626244128
127,-0.27572413039921095
128,-0.24412514432750865
129,-0.20760831050174613
130,-0.431798275933005
131,-0.2218487496163564
132,-0.21467016498923297
133,-0.3098039199714863
134,-0.44369749923271273
135,-0.4089353929735008
136,-0.3979400086720376
137,-0.37675070960209955
138,-0.3279021420642826
139,-0.3279021420642826
140,-0.28399665636520083
141,-0.25181197299379954
142,-0.20760831050174613
143,-0.1804560644581313
144,-0.16115090926274472
