,avg_ids,Teff,parallax,parallax_error,m336,m439,m656,m814,m435,m555,m658,m775,m850,m110,m160,m130,m139,e336,e439,e656,e814,e435,e555,e658,e775,e850,e110,e160,e130,e139,f_m336,f_m439,f_m656,f_m814
0,1.0,,,,,,,,,24.59118734045533,,21.83644360453312,20.82680751969759,,,,,,,,,,0.1058028631892559,,0.01333635670441,0.011141585479447,,,,,,,,
1,2.0,,,,,,,,,,,24.17191596685754,22.448835217077512,,,,,,,,,,,,0.0887478657321643,0.037566863832793,,,,,,,,
2,3.0,,2.677113033111954,0.03982426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,,,,,,,,,,,23.039468289078236,21.923928580964105,,,,,,,,,,,,0.0316326711266732,0.0238020474606554,,,,,,,,
4,5.0,,,,,,,,26.85101396937444,25.613583926540823,23.65505465635694,22.33844921116272,21.26784468601264,,,,,,,,,0.663019428080581,0.2689857057948861,1.033385948120316,0.0194280040181482,0.0154713194432066,,,,,,,,
5,6.0,,,,,,,,28.471953086730764,26.036860539629583,23.67978452812155,23.245771741111,21.766246075662732,,,,,,,,,2.7292938812480885,0.347199952174516,0.9850950566438856,0.0381922270896983,0.021129992474611,,,,,,,,
6,7.0,,,,,,,,,,22.404257059734316,24.33055971126609,23.01954908699563,,,,,,,,,,,0.4576091502063484,0.1204982368758611,0.0704670267654423,,,,,,,,
7,8.0,,2.7688748185307483,0.10821398,,,,,21.582670544374302,19.724639644388557,17.60913253435391,16.386971655255575,15.2740742683737,,,,,,,,,0.0079692707541207,0.0027974095930319,0.0066342956583969,0.0006639994278947,0.0006169692162351,,,,,,,,
8,9.0,,,,,,,,,,,22.05247080480519,20.963199529123067,,,,,,,,,,,,0.0155931591241137,0.0125685280964173,,,,,,,,
9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,,,,,,,,,26.05240456632058,23.41660584079196,23.264857982716546,21.476852790785472,,,,,,,,,,0.3612978312313439,0.7656262659462535,0.0390150514640495,0.0171762409155761,,,,,,,,
11,12.0,,,,,,,,,,,24.142056297773067,22.404581163557204,,,,,,,,,,,,0.1010288019549579,0.0417171813619612,,,,,,,,
12,13.0,,,,,,,,28.63118435785628,26.282401646094115,25.28014490620981,22.24766378309234,21.19070832522986,,,18.3929,18.3009,,,,,3.98575521330233,0.5635733924616642,6.137716412057258,0.019952646477207,0.0156356467951278,,,0.192253,0.00600576,,,,
13,14.0,,,,,,,,25.80619804279936,,23.511969254819125,24.961077789054876,23.9944140669444,,,,,,,,,0.2325749060434739,,0.8274438242779166,0.1731579265253297,0.1359604007073304,,,,,,,,
14,15.0,,,,,,,,,,,23.87161983598517,22.653782882083068,,,,,,,,,,,,0.0672938405401258,0.0433526113187859,,,,,,,,
15,16.0,,,,,,,,,,22.271203903036003,24.23384566810993,22.76402784050325,,,,,,,,,,,0.3608608014756417,0.1094150077179654,0.058989992726044,,,,,,,,
16,17.0,,,,,,,,,26.955620630915945,,23.72513018607387,22.4417388878004,20.133,18.27,,,,,,,,0.9920141652308476,,0.0679527306507249,0.044995787807348,0.15,0.094,,,,,,
17,18.0,,,,,,,,27.97498359907708,29.05939512486909,22.740365084592803,24.73575190172092,23.39785480808541,,,,,,,,,1.7268768100572751,5.718300553069654,0.4619445082195593,0.1466303663862369,0.0871346471190029,,,,,,,,
18,19.0,,,,,,,,26.7120687477215,26.08307503609557,,24.290257941320387,23.445637513151564,,,,,,,,,0.5028926899280962,0.313950241482042,,0.0868153683911304,0.0813524115453876,,,,,,,,
19,20.0,,,,,,,,,25.307982886235617,,21.201379735882337,19.9115707764291,,,,,,,,,,0.1557106720751742,,0.0076993163913857,0.005842316680094,,,,,,,,
20,21.0,,,,,,,,27.491775214541576,25.565893935699982,24.287035458593397,22.94974907059162,22.038224442247287,,,19.7721,19.5425,,,,,1.260413698574658,0.1971910759753176,1.6478052235795293,0.0241759749656328,0.020879681600681,,,0.0450816,0.0108391,,,,
21,23.0,3687.0,0.4674092149828341,0.1388562,,,,,21.66039147118041,19.81295698950663,18.24314854834342,17.385394464349453,16.595514008106985,,,,,,,,,0.0073586875817808,0.0027758091394115,0.008591733227096,0.0010538635393538,0.0011243579629764,,,,,,,,
22,24.0,,,,,,,,,,24.716277389411868,24.28871037463164,23.18079688585985,,,,,,,,,,,2.812411782160404,0.0995817158321539,0.0755959597782651,,,,,,,,
23,25.0,,,,,,,,,,,23.208905452624062,21.88189891960969,,,,,,,,,,,,0.0380145244874285,0.0237446237329713,,,,,,,,
