t m teff logg logL Lum 
0.001 0.0010 942. 3.00 -4.72 1.9054607179632E-5 
0.001 0.0020 1285. 3.26 -4.14 7.2443596007499E-5 
0.001 0.0030 1553. 3.37 -3.75 0.00017782794100389 
0.001 0.0040 1747. 3.44 -3.48 0.00033113112148259 
0.001 0.0050 1901. 3.47 -3.27 0.00053703179637025 
0.001 0.0060 2004. 3.50 -3.13 0.00074131024130092 
0.001 0.0070 2098. 3.51 -3.00 0.001 
0.001 0.0080 2159. 3.52 -2.89 0.0012882495516931 
0.001 0.0090 2207. 3.53 -2.81 0.0015488166189125 
0.001 0.0100 2251. 3.53 -2.73 0.0018620871366629 
0.001 0.0120 2321. 3.54 -2.61 0.002454708915685 
0.001 0.0150 2400. 3.54 -2.46 0.0034673685045253 
0.001 0.0200 2544. 3.79 -2.48 0.0033113112148259 
0.001 0.0250 2638. 3.76 -2.29 0.0051286138399136 
0.001 0.0300 2703. 3.72 -2.13 0.0074131024130092 
0.001 0.0400 2792. 3.69 -1.92 0.012022644346174 
0.001 0.0500 2846. 3.63 -1.73 0.018620871366629 
0.001 0.0550 2870. 3.60 -1.65 0.022387211385683 
0.001 0.0600 2893. 3.58 -1.57 0.026915348039269 
0.001 0.0620 2901. 3.57 -1.54 0.028840315031266 
0.001 0.0650 2909. 3.56 -1.50 0.031622776601684 
0.001 0.0680 2917. 3.54 -1.47 0.03388441561392 
0.001 0.0700 2921. 3.54 -1.45 0.035481338923358 
0.001 0.0720 2925. 3.53 -1.42 0.038018939632056 
0.001 0.0750 2932. 3.52 -1.39 0.040738027780411 
0.001 0.0800 2941. 3.50 -1.34 0.045708818961487 
0.001 0.0850 2955. 3.49 -1.29 0.051286138399136 
0.001 0.0900 2968. 3.48 -1.25 0.056234132519035 
0.001 0.0950 2984. 3.46 -1.20 0.063095734448019 
0.001 0.1000 2998. 3.45 -1.16 0.069183097091894 
0.001 0.1100 3023. 3.43 -1.08 0.083176377110267 
0.001 0.1300 3072. 3.41 -0.96 0.10964781961432 
0.001 0.1500 3120. 3.39 -0.85 0.14125375446228 
0.001 0.1750 3163. 3.39 -0.76 0.17378008287494 
0.001 0.2000 3193. 3.40 -0.70 0.19952623149689 
0.001 0.2500 3242. 3.43 -0.61 0.2454708915685 
0.001 0.3000 3281. 3.46 -0.53 0.29512092266664 
0.001 0.3500 3318. 3.47 -0.46 0.34673685045253 
0.001 0.4000 3357. 3.48 -0.39 0.40738027780411 
0.001 0.4500 3388. 3.49 -0.34 0.45708818961488 
0.001 0.5000 3427. 3.50 -0.28 0.52480746024977 
0.001 0.5700 3485. 3.52 -0.21 0.61659500186148 
0.001 0.6000 3507. 3.52 -0.17 0.67608297539198 
0.001 0.6200 3525. 3.52 -0.15 0.70794578438414 
0.001 0.7000 3593. 3.53 -0.08 0.83176377110267 
0.001 0.7500 3632. 3.54 -0.04 0.91201083935591 
0.001 0.8000 3670. 3.55 0.00 1 
0.001 0.8500 3705. 3.55 0.04 1.0964781961432 
0.001 0.9000 3752. 3.61 0.03 1.0715193052376 
0.001 0.9500 3776. 3.56 0.11 1.2882495516931 
0.001 1.0000 3810. 3.58 0.13 1.3489628825917 
0.001 1.0500 3841. 3.57 0.17 1.4791083881682 
0.001 1.1000 3871. 3.57 0.21 1.6218100973589 
0.001 1.1500 3899. 3.58 0.23 1.6982436524617 
0.001 1.2000 3978. 3.58 0.28 1.9054607179632 
0.001 1.3000 4098. 3.60 0.35 2.2387211385683 
0.001 1.4000 4197. 3.60 0.42 2.6302679918954 
