t m teff logg logL Lum 
0.030 0.0030 669. 3.70 -5.53 2.9512092266664E-6
0.030 0.0040 780. 3.81 -5.26 5.4954087385762E-6
0.030 0.0050 881. 3.90 -5.04 9.1201083935591E-6
0.030 0.0060 980. 3.98 -4.85 1.4125375446228E-5
0.030 0.0070 1079. 4.04 -4.68 2.089296130854E-5
0.030 0.0080 1161. 4.10 -4.55 2.8183829312645E-5
0.030 0.0090 1249. 4.14 -4.42 3.8018939632056E-5
0.030 0.0100 1337. 4.18 -4.29 5.1286138399136E-5
0.030 0.0120 1623. 4.21 -3.90 0.00012589254117942
0.030 0.0150 2099. 4.12 -3.27 0.00053703179637025
0.030 0.0200 2162. 4.30 -3.28 0.00052480746024977
0.030 0.0300 2410. 4.44 -3.05 0.00089125093813375
0.030 0.0400 2591. 4.51 -2.87 0.0013489628825917
0.030 0.0500 2722. 4.52 -2.69 0.0020417379446695
0.030 0.0600 2805. 4.54 -2.58 0.0026302679918954
0.030 0.0700 2871. 4.54 -2.48 0.0033113112148259
0.030 0.0720 2881. 4.54 -2.46 0.0034673685045253
0.030 0.0750 2899. 4.53 -2.42 0.0038018939632056
0.030 0.0800 2921. 4.54 -2.39 0.0040738027780411
0.030 0.0900 2962. 4.54 -2.31 0.0048977881936845
0.030 0.1000 2998. 4.53 -2.24 0.0057543993733716
0.030 0.1100 3116. 4.56 -2.16 0.0069183097091894
0.030 0.1300 3172. 4.56 -2.06 0.0087096358995608
0.030 0.1500 3218. 4.56 -1.97 0.010715193052376
0.030 0.1750 3262. 4.55 -1.87 0.013489628825917
0.030 0.2000 3298. 4.54 -1.78 0.016595869074376
0.030 0.2500 3360. 4.53 -1.65 0.022387211385683
0.030 0.3000 3414. 4.53 -1.53 0.029512092266664
0.030 0.3500 3453. 4.52 -1.44 0.03630780547701
0.030 0.4000 3490. 4.52 -1.36 0.043651583224017
0.030 0.4500 3524. 4.52 -1.29 0.051286138399136
0.030 0.5000 3562. 4.51 -1.22 0.060255958607436
0.030 0.5700 3627. 4.50 -1.13 0.074131024130092
0.030 0.6000 3658. 4.50 -1.08 0.083176377110267
0.030 0.6200 3680. 4.49 -1.05 0.089125093813375
0.030 0.7000 3790. 4.47 -0.93 0.11748975549395
0.030 0.7500 3877. 4.46 -0.85 0.14125375446228
0.030 0.8000 3986. 4.44 -0.75 0.17782794100389
0.030 0.8500 4143. 4.42 -0.64 0.22908676527678
0.030 0.9000 4342. 4.39 -0.50 0.31622776601684
0.030 0.9500 4560. 4.36 -0.36 0.43651583224017
0.030 1.0000 4850. 4.31 -0.18 0.6606934480076
0.030 1.0500 5183. 4.25 0.01 1.0232929922808
0.030 1.1000 5511. 4.23 0.16 1.4454397707459
0.030 1.1500 5681. 4.31 0.15 1.4125375446228
0.030 1.2000 5770. 4.33 0.18 1.5135612484362
0.030 1.3000 6030. 4.28 0.34 2.1877616239496
0.030 1.4000 6586. 4.25 0.55 3.5481338923358
