t m teff logg logL Lum R 
0.200 0.0070 625. 4.15 -5.74 1.81970085861E-6 8.10 
0.200 0.0080 679. 4.21 -5.60 2.5118864315096E-6 8.06 
0.200 0.0090 733. 4.27 -5.47 3.388441561392E-6 8.02 
0.200 0.0100 783. 4.32 -5.36 4.3651583224017E-6 7.99 
0.200 0.0120 1083. 4.36 -4.76 1.7378008287494E-5 8.32 
0.200 0.0150 1070. 4.50 -4.82 1.5135612484362E-5 7.92 
0.200 0.0200 1266. 4.64 -4.55 2.8183829312645E-5 7.78 
0.200 0.0300 1667. 4.82 -4.07 8.5113803820238E-5 7.80 
0.200 0.0400 2004. 4.92 -3.73 0.00018620871366629 7.99 
0.200 0.0500 2259. 4.98 -3.48 0.00033113112148259 8.30 
0.200 0.0600 2464. 5.02 -3.29 0.00051286138399136 8.68 
0.200 0.0700 2619. 5.05 -3.14 0.00072443596007499 9.14 
0.200 0.0720 2645. 5.05 -3.12 0.00075857757502918 9.22 
0.200 0.0750 2682. 5.06 -3.08 0.00083176377110267 9.36 
0.200 0.0800 2737. 5.06 -3.03 0.00093325430079699 9.59 
0.200 0.0900 2829. 5.07 -2.92 0.0012022644346174 10.10 
0.200 0.1000 2903. 5.07 -2.83 0.0014791083881682 10.64 
0.200 0.1100 2990. 5.09 -2.76 0.0017378008287494 10.93 
0.200 0.1300 3082. 5.08 -2.63 0.0023442288153199 11.95 
0.200 0.1500 3167. 5.07 -2.51 0.0030902954325136 12.97 
0.200 0.1750 3241. 5.05 -2.38 0.0041686938347034 14.33 
0.200 0.2000 3294. 5.04 -2.28 0.0052480746024977 15.58 
0.200 0.2500 3374. 5.01 -2.11 0.0077624711662869 18.07 
0.200 0.3000 3436. 4.98 -1.97 0.010715193052376 20.43 
0.200 0.3500 3483. 4.96 -1.86 0.013803842646029 22.69 
0.200 0.4000 3538. 4.92 -1.74 0.0181970085861 25.30 
0.200 0.4500 3607. 4.87 -1.60 0.025118864315096 28.34 
0.200 0.5000 3676. 4.82 -1.47 0.03388441561392 31.69 
0.200 0.5700 3819. 4.75 -1.28 0.052480746024977 36.55 
0.200 0.6000 3897. 4.72 -1.20 0.063095734448019 38.73 
0.200 0.6200 3958. 4.71 -1.14 0.072443596007499 40.12 
0.200 0.7000 4215. 4.65 -0.92 0.12022644346174 45.82 
0.200 0.7500 4419. 4.62 -0.78 0.16595869074376 48.96 
0.200 0.8000 4604. 4.59 -0.65 0.22387211385683 52.50 
0.200 0.8500 4774. 4.55 -0.52 0.3019951720402 56.36 
0.200 0.9000 4951. 4.52 -0.40 0.3981071705535 60.17 
0.200 0.9500 5120. 4.49 -0.29 0.51286138399136 64.10 
0.200 1.0000 5286. 4.45 -0.18 0.6606934480076 68.33 
0.200 1.0500 5439. 4.42 -0.07 0.85113803820238 73.03 
0.200 1.1000 5586. 4.38 0.03 1.0715193052376 77.80 
0.200 1.1500 5737. 4.35 0.13 1.3489628825917 82.56 
0.200 1.2000 5897. 4.32 0.22 1.6595869074376 87.07 
0.200 1.3000 6233. 4.28 0.40 2.5118864315096 94.96 
0.200 1.4000 6642. 4.27 0.55 3.5481338923358 100.03 
