t m teff logg logL Lum R 
9.000 0.0400 650. 5.20 -5.96 1.0964781961432E-6 5.81 
9.000 0.0500 795. 5.33 -5.65 2.2387211385683E-6 5.54 
9.000 0.0600 966. 5.45 -5.34 4.5708818961488E-6 5.34 
9.000 0.0700 1325. 5.50 -4.78 1.6595869074376E-5 5.43 
9.000 0.0720 1578. 5.48 -4.44 3.630780547701E-5 5.64 
9.000 0.0750 1997. 5.41 -3.95 0.0001122018454302 6.19 
9.000 0.0800 2322. 5.35 -3.60 0.00025118864315096 6.86 
9.000 0.0900 2624. 5.29 -3.27 0.00053703179637025 7.84 
9.000 0.1000 2786. 5.25 -3.08 0.00083176377110267 8.67 
9.000 0.1100 2922. 5.22 -2.93 0.0011748975549395 9.40 
9.000 0.1300 3056. 5.17 -2.73 0.0018620871366629 10.82 
9.000 0.1500 3152. 5.13 -2.58 0.0026302679918954 12.12 
9.000 0.1750 3237. 5.09 -2.43 0.0037153522909717 13.67 
9.000 0.2000 3294. 5.06 -2.30 0.0050118723362727 15.20 
9.000 0.2500 3378. 5.00 -2.10 0.0079432823472428 18.21 
9.000 0.3000 3436. 4.95 -1.95 0.01122018454302 21.07 
9.000 0.3500 3475. 4.92 -1.82 0.015135612484362 23.74 
9.000 0.4000 3523. 4.88 -1.71 0.01949844599758 26.37 
9.000 0.4500 3584. 4.84 -1.59 0.025703957827689 29.34 
9.000 0.5000 3653. 4.79 -1.46 0.034673685045253 32.79 
9.000 0.5700 3816. 4.72 -1.25 0.056234132519035 37.99 
9.000 0.6000 3909. 4.69 -1.16 0.069183097091894 40.25 
9.000 0.6200 3977. 4.67 -1.10 0.079432823472428 41.77 
9.000 0.7000 4275. 4.60 -0.85 0.14125375446228 48.18 
9.000 0.7500 4507. 4.56 -0.69 0.20417379446695 52.11 
9.000 0.8000 4710. 4.51 -0.53 0.29512092266664 57.08 
9.000 0.8500 4922. 4.45 -0.37 0.42657951880159 62.91 
9.000 0.9000 5142. 4.39 -0.20 0.63095734448019 70.09 
9.000 0.9500 5321. 4.28 -0.02 0.95499258602144 80.97 
9.000 1.0000 5398. 4.15 0.16 1.4454397707459 96.71 
