t m teff logg logL logt Lum 
0.00300 0.001 501 2.75 -5.87 6.47712 0.00000134896 
0.00300 0.001 734 3.1 -5.26 6.47712 0.00000549541 
0.00300 0.002 1025 3.38 -4.65 6.47712 0.0000223872 
0.00300 0.003 1241 3.52 -4.29 6.47712 0.0000512861 
0.00300 0.004 1415 3.62 -4.03 6.47712 0.0000933254 
0.00300 0.005 1580 3.68 -3.8 6.47712 0.000158489 
0.00300 0.006 1721 3.72 -3.62 6.47712 0.000239883 
0.00300 0.007 1842 3.76 -3.46 6.47712 0.000346737 
0.00300 0.008 1943 3.78 -3.34 6.47712 0.000457088 
0.00300 0.009 2028 3.79 -3.23 6.47712 0.000588844 
0.00300 0.010 2100 3.81 -3.14 6.47712 0.000724436 
0.00300 0.012 2207 3.83 -2.99 6.47712 0.00102329 
0.00300 0.015 2332 3.84 -2.81 6.47712 0.00154882 
0.00300 0.020 2465 3.84 -2.58 6.47712 0.00263027 
0.00300 0.030 2613 3.77 -2.24 6.47712 0.0057544 
0.00300 0.040 2749 3.72 -1.98 6.47712 0.0104713 
0.00300 0.050 2793 3.63 -1.77 6.47712 0.0169824 
0.00300 0.060 2835 3.66 -1.69 6.47712 0.0204174 
0.00300 0.070 2871 3.66 -1.6 6.47712 0.0251189 
0.00300 0.072 2878 3.67 -1.59 6.47712 0.025704 
0.00300 0.075 2873 3.56 -1.47 6.47712 0.0338844 
0.00300 0.080 2905 3.68 -1.54 6.47712 0.0288403 
0.00300 0.090 2928 3.69 -1.49 6.47712 0.0323594 
0.00300 0.100 2925 3.56 -1.31 6.47712 0.0489779 
0.00300 0.110 3040 3.77 -1.42 6.47712 0.0380189 
0.00300 0.130 3073 3.79 -1.34 6.47712 0.0457088 
0.00300 0.150 3105 3.8 -1.27 6.47712 0.0537032 
0.00300 0.175 3136 3.8 -1.19 6.47712 0.0645654 
0.00300 0.200 3174 3.81 -1.11 6.47712 0.0776247 
0.00300 0.250 3258 3.82 -0.98 6.47712 0.104713 
0.00300 0.300 3333 3.82 -0.86 6.47712 0.138038 
0.00300 0.350 3392 3.82 -0.77 6.47712 0.169824 
0.00300 0.400 3442 3.82 -0.69 6.47712 0.204174 
0.00300 0.450 3483 3.83 -0.62 6.47712 0.239883 
0.00300 0.500 3524 3.83 -0.56 6.47712 0.275423 
0.00300 0.570 3575 3.83 -0.48 6.47712 0.331131 
0.00300 0.600 3594 3.83 -0.45 6.47712 0.354813 
0.00300 0.620 3609 3.84 -0.43 6.47712 0.371535 
0.00300 0.700 3664 3.84 -0.35 6.47712 0.446684 
0.00300 0.750 3695 3.84 -0.31 6.47712 0.489779 
0.00300 0.800 3731 3.85 -0.27 6.47712 0.537032 
0.00300 0.850 3764 3.85 -0.23 6.47712 0.588844 
0.00300 0.900 3796 3.86 -0.21 6.47712 0.616595 
0.00300 0.950 3828 3.85 -0.16 6.47712 0.691831 
0.00300 1.000 3863 3.86 -0.13 6.47712 0.74131 
0.00300 1.050 3893 3.86 -0.1 6.47712 0.794328 
0.00300 1.100 3972 3.86 -0.04 6.47712 0.912011 
0.00300 1.150 4032 3.87 -0.01 6.47712 0.977237 
0.00300 1.200 4075 3.88 0.02 6.47712 1.04713 
0.00300 1.300 4156 3.89 0.08 6.47712 1.20226 
0.00300 1.400 4231 3.9 0.14 6.47712 1.38038 
