#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 1.0767426730267017e-07
1020.0 1.393558551459647e-07
1030.0 2.971953979175594e-07
1040.0 5.016986551991296e-07
1050.0 7.206567975999665e-07
1060.0 9.295474936631772e-07
1070.0 1.353598281511041e-06
1080.0 1.7504635958125915e-06
1090.0 2.5968880608006634e-06
1100.0 3.66036014970913e-06
1110.0 5.645008690617463e-06
1120.0 8.026284659559088e-06
1130.0 9.908409468497212e-06
1140.0 1.1421533384814777e-05
1150.0 1.3930064976775673e-05
1160.0 1.4439014250115819e-05
1170.0 1.4301400432436466e-05
1180.0 2.236928506135605e-05
1190.0 2.627513458633403e-05
1200.0 7.805826352131147e-05
1210.0 4.127000664583556e-05
1220.0 5.199823581954521e-05
1230.0 0.00016732669258421234
1240.0 0.00023930441508488332
1250.0 0.00030650840627164777
1260.0 0.0003492995959994264
1270.0 0.0004220184987362955
1280.0 0.0005496545069106663
1290.0 0.0007104566821062998
1300.0 0.0009049193677138227
1310.0 0.0010739845061195979
1320.0 0.0012240961856651398
1330.0 0.0014499626915627042
1340.0 0.001788946841926356
1350.0 0.0023127050522011774
1360.0 0.002665104192758357
1370.0 0.0030966793666502043
1380.0 0.003977442721157707
1390.0 0.005237530629655131
1400.0 0.006229426644632189
1410.0 0.0075654643477348965
1420.0 0.009336139498189927
1430.0 0.011140680302628056
1440.0 0.013269251592427603
1450.0 0.0159452925731435
1460.0 0.0190753413629414
1470.0 0.02119365501379568
1480.0 0.026144417796264908
1490.0 0.0306575871809375
1500.0 0.034757992090303114
1510.0 0.04200913560246122
1520.0 0.05978411101361331
1530.0 0.3305052766612481
1540.0 0.37548394008391317
1550.0 0.33766890131109434
1560.0 0.5520159105746073
1570.0 1.0821642920332881
1580.0 1.421691280838759
1590.0 1.5464895988484615
1600.0 1.9817672108912254
1610.0 2.1144797016001293
1620.0 2.4161459179424236
1630.0 2.9483214276298524
1640.0 4.688282856732857
1650.0 4.736453245845759
1660.0 5.791837460985713
1670.0 5.433005443221492
1680.0 15.803640994738245
1690.0 27.478342755995165
1700.0 25.30544934553807
1710.0 47.772268091698734
1720.0 45.501341994577984
1730.0 49.616478306771185
1740.0 52.39858471877255
1750.0 70.11851253671156
1760.0 79.01144910670037
1770.0 70.33316574117303
1780.0 99.0233191079287
1790.0 156.40747648164543
1800.0 192.67499004160993
1810.0 163.4652455671486
1820.0 182.83086193225108
1830.0 152.73134239070302
1840.0 144.52915789416943
1850.0 141.3253616956806
1860.0 211.46781575755614
1870.0 248.30635246147295
1880.0 262.3185926923037
1890.0 321.1308364075825
1900.0 274.9932052480232
1910.0 334.56909961421434
1920.0 363.10625530694495
1930.0 441.66716113476997
1940.0 396.1005643122778
1950.0 506.40979468727545
1960.0 574.7775070331151
1970.0 676.6181811877728
1980.0 624.4619316106891
1990.0 679.0343440385735
2000.0 783.0178771250138
2010.0 731.0954067755547
2020.0 750.7484563719837
2030.0 824.5618199199924
2040.0 1024.461708239404
2050.0 1088.0280912600163
2060.0 1132.1085432876207
2070.0 3548.3535737847
2080.0 2462.6946792197946
2090.0 2853.714917587322
2100.0 3494.240775639989
2110.0 3913.6698420896228
2120.0 5845.007271617592
2130.0 4529.284007237148
2140.0 5454.023519892776
2150.0 4079.3626131093592
2160.0 3673.175051952178
2170.0 3532.0408605366865
2180.0 4964.23398821266
2190.0 6451.134178061849
2200.0 6471.694106219114
2210.0 4874.033169069326
2220.0 5674.126604509793
2230.0 10281.442491511514
2240.0 14964.48504778325
2250.0 12523.431716452336
2260.0 7353.042675696425
2270.0 7556.3770180168485
2280.0 9765.515674941897
2290.0 8517.463484381795
2300.0 8352.889731414167
2310.0 11604.25569068403
2320.0 11286.350027350118
2330.0 11950.327030875807
2340.0 11915.619801066765
2350.0 10645.965626304647
2360.0 9777.289811237259
2370.0 10081.542487165436
2380.0 10252.389484709567
2390.0 11125.102722985812
2400.0 12096.749971707866
2410.0 10687.593396151497
2420.0 20602.219325515758
2430.0 26421.19990711046
2440.0 20331.48370987195
2450.0 23087.988715359264
2460.0 22822.72453439634
2470.0 18219.47986182334
2480.0 14227.838920799675
2490.0 9165.183309294393
2500.0 18657.82659249656
2510.0 14824.414479361005
2520.0 9037.434611752979
2530.0 17110.870596253055
2540.0 21056.51901610997
2550.0 39621.794455762094
2560.0 42655.236191170894
2570.0 56170.47425384243
2580.0 42311.85115020718
2590.0 46036.72483717513
2600.0 38102.24881218081
2610.0 33103.78645336825
2620.0 55700.45020200802
2630.0 45292.08475814027
2640.0 160636.61830190636
2650.0 170511.39647858485
2660.0 158996.98461680036
2670.0 150909.7872844345
2680.0 226060.20192346067
2690.0 231882.1916722639
2700.0 199795.67602718066
2710.0 152244.09547935484
2720.0 46694.641430064774
2730.0 81751.3325362177
2740.0 51163.933426163276
2750.0 81510.0245687227
2760.0 129262.13008883916
2770.0 141650.78403748406
2780.0 87822.88541263361
2790.0 58649.63096624666
