#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 174730.00288076384
1020.0 180925.03806834252
1030.0 624181.4374173156
1040.0 246042.44828373386
1050.0 185269.64343272563
1060.0 186944.49579759443
1070.0 197407.58107638883
1080.0 597414.0077285339
1090.0 608629.731519704
1100.0 195110.3733659871
1110.0 196674.39018077092
1120.0 204320.67664263787
1130.0 198741.46765823028
1140.0 215833.85237949717
1150.0 202543.56092446216
1160.0 206394.78293241755
1170.0 206776.6480996323
1180.0 207667.1554010029
1190.0 208931.0966988814
1200.0 315037.1514862105
1210.0 280400.75699314877
1220.0 1784027.1214292995
1230.0 258059.38981364446
1240.0 1051971.0589569747
1250.0 366405.0796336827
1260.0 509885.85827206104
1270.0 523845.65093917836
1280.0 540843.4491099734
1290.0 583717.3308062196
1300.0 628599.107051984
1310.0 691285.940229115
1320.0 722071.0592215597
1330.0 734260.4403797835
1340.0 819500.7816352382
1350.0 788701.1302711103
1360.0 807508.3737790848
1370.0 819467.574251013
1380.0 836842.4135252871
1390.0 1915995.809383083
1400.0 2130734.4435712514
1410.0 1575181.966753439
1420.0 888548.9683751601
1430.0 872528.765362684
1440.0 877004.5353092449
1450.0 882839.6336717342
1460.0 889787.287317604
1470.0 896683.9849580924
1480.0 900906.7425909105
1490.0 1413969.965056695
1500.0 891996.3780771847
1510.0 890527.3921822567
1520.0 891505.0195581176
1530.0 931554.5459957748
1540.0 885244.4054290184
1550.0 12569757.775182283
1560.0 885600.1522362212
1570.0 881799.8638013493
1580.0 923935.4235736384
1590.0 880963.7901592549
1600.0 965914.1915544908
1610.0 879248.0694335102
1620.0 879178.2463597946
1630.0 873974.8154107467
1640.0 7993595.234470412
1650.0 866656.2274964706
1660.0 1121046.536795187
1670.0 1526591.066844328
1680.0 861103.8485459003
1690.0 858502.6499763636
1700.0 854993.9812973891
1710.0 850672.7286888146
1720.0 913218.1409565407
1730.0 854945.9261044421
1740.0 871131.6202513534
1750.0 1292488.3751579726
1760.0 847337.8815973613
1770.0 847071.2408316152
1780.0 849623.6404238603
1790.0 908640.7674942204
1800.0 843929.870450518
1810.0 1040906.5554598307
1820.0 1058786.580025738
1830.0 828351.2268180839
1840.0 823067.4209975341
1850.0 888629.6515963996
1860.0 854845.9984738154
1870.0 813421.6759597581
1880.0 1333644.9235924417
1890.0 1669024.2012648897
1900.0 805327.7487273923
1910.0 5410868.961580076
1920.0 799758.1718226055
1930.0 803313.1399659336
1940.0 788737.7717253214
1950.0 788307.5709111815
1960.0 780288.3530788097
1970.0 775695.4068987826
1980.0 771544.6230983699
1990.0 768158.1296216547
2000.0 762962.563111384
2010.0 756313.650819662
2020.0 724982.0438757717
2030.0 683799.3571704588
2040.0 663703.4183064009
2050.0 633515.5061336581
2060.0 622966.7637393464
2070.0 627676.452323056
2080.0 613874.6259230959
2090.0 632970.1797825885
2100.0 619311.9979012856
2110.0 619406.4632828007
2120.0 637286.6860702579
2130.0 636404.3374791
2140.0 669361.1864173842
2150.0 612342.8704678945
2160.0 617058.9955916336
2170.0 602203.5367900691
2180.0 625905.3452413392
2190.0 612250.2707970293
2200.0 618396.5282378001
2210.0 625865.7605369439
2220.0 656673.2712533239
2230.0 642513.4735134667
2240.0 652882.4966820803
2250.0 693439.0986354771
2260.0 676615.5983270789
2270.0 690106.8601939394
2280.0 704175.1600234044
2290.0 718875.4790778437
2300.0 751780.3720581273
2310.0 790928.7340813391
2320.0 830261.1504694199
2330.0 1487802.5843900458
2340.0 943225.8865835444
2350.0 841089.6990032889
2360.0 821078.0064620163
2370.0 837158.6183255017
2380.0 853035.3091565645
2390.0 932481.9906908886
2400.0 885282.8078399044
2410.0 903648.6341294628
2420.0 916145.2064902162
2430.0 1983674.940355254
2440.0 946461.2760790131
2450.0 964497.94395617
2460.0 976362.0474724423
2470.0 991347.4071229546
2480.0 1006454.902647429
2490.0 1021869.7615198878
2500.0 1035808.6215132641
2510.0 1156013.4915589087
2520.0 1066918.6161720469
2530.0 1081253.846420224
2540.0 1093346.1653582763
2550.0 1107789.051211379
2560.0 1283257.158979646
2570.0 1134962.538288364
2580.0 1149510.8107994243
2590.0 1191943.9058854044
2600.0 1177647.2313959077
