#lam[Angstrom] flux[erg/cm2/s/A]
1010.0 1106.9471690877401
1020.0 1146.1978516961697
1030.0 3954.264171616801
1040.0 1558.7402593519514
1050.0 1173.7529115408397
1060.0 1184.3757221325054
1070.0 1250.6788050268044
1080.0 3784.773444175548
1090.0 3855.8545864433045
1100.0 1236.3980076806831
1110.0 1246.912968594629
1120.0 1295.991777403347
1130.0 1260.7026016397704
1140.0 1369.0615087424997
1150.0 1285.077616662238
1160.0 1309.2382077642158
1170.0 1311.827929452423
1180.0 1318.141606888653
1190.0 1326.4423309710323
1200.0 2004.339712712711
1210.0 1782.3276122319337
1220.0 11309.000354907279
1230.0 1650.1686689614423
1240.0 6693.206951822232
1250.0 2378.2197217269777
1260.0 3296.2322289595727
1270.0 3416.6028175389097
1280.0 3547.3476337130173
1290.0 3864.168391939526
1300.0 4149.965011053911
1310.0 4607.931740040715
1320.0 4862.99232960801
1330.0 4946.996718414811
1340.0 5596.221132611867
1350.0 5474.7486313092795
1360.0 5609.832708824086
1370.0 5721.825275554152
1380.0 5944.044117303641
1390.0 12912.331225954438
1400.0 14320.044672984493
1410.0 10848.636720674493
1420.0 6640.444244098172
1430.0 6601.096574662744
1440.0 6895.416821947328
1450.0 7108.902649840471
1460.0 7387.3629646335
1470.0 7328.988573782674
1480.0 7712.5031572767175
1490.0 11283.286940811427
1500.0 8243.902311418362
1510.0 8451.342380618622
1520.0 9115.408569274186
1530.0 11962.888214333318
1540.0 14890.648613796388
1550.0 87903.02624667132
1560.0 12537.729708146584
1570.0 15908.409907667989
1580.0 19622.83343407705
1590.0 21745.889809580665
1600.0 23722.672622904294
1610.0 21625.61047390646
1620.0 22157.94249135349
1630.0 21424.375069906022
1640.0 72365.04273177293
1650.0 24456.20085899983
1660.0 25042.43068749334
1670.0 29537.202413049054
1680.0 169912.58370824484
1690.0 131902.1945912621
1700.0 180530.78031038796
1710.0 262467.96818047063
1720.0 363763.30709432665
1730.0 471424.45406823326
1740.0 497691.463805947
1750.0 555139.4331658395
1760.0 670127.8846990669
1770.0 600231.4657586771
1780.0 700957.7563897831
1790.0 1080066.6074229027
1800.0 1371765.4678079104
1810.0 894112.0417373909
1820.0 830233.7289611343
1830.0 692088.2293236643
1840.0 699008.7640262236
1850.0 736425.7787049888
1860.0 1119036.9387929132
1870.0 1283062.3798073262
1880.0 1320462.288746013
1890.0 1329862.4454821923
1900.0 1005653.4288599532
1910.0 1057770.8891867625
1920.0 1240954.7312334138
1930.0 657702.8961898555
1940.0 1094470.1865377128
1950.0 1584924.7258698703
1960.0 2038385.0378787855
1970.0 1910003.8274352087
1980.0 1915489.5732441435
1990.0 1905335.2353807786
2000.0 2005180.8206617453
2010.0 1719316.5317704414
2020.0 1717120.6493968666
2030.0 1996994.3200599921
2040.0 2234804.379554596
2050.0 2753102.2754717185
2060.0 1994323.6860417915
2070.0 3247718.8195990655
2080.0 3426642.2704198235
2090.0 3750967.07700621
2100.0 3359262.1398861925
2110.0 3553760.392592921
2120.0 3984446.246032667
2130.0 2350609.382622911
2140.0 3115839.2482493175
2150.0 2951528.343531084
2160.0 3467155.5846597985
2170.0 2389818.5592705533
2180.0 3317215.4292673217
2190.0 3494534.634737214
2200.0 4426003.787732698
2210.0 2816895.8120506923
